session_id,unit_id,response,defect_occurred_at,defect_caught_at,risk_score,model_confidence,input_trust,effective_trust,action,latest_t,risk_threshold,trust_threshold
0,1,0,,,0.0312,0.991,0.885,0.877,PASS,573.02,0.6052515672936158,0.5
0,2,0,,,0.0612,0.934,0.893,0.834,PASS,644.53,0.6052515672936158,0.5
0,3,0,,,0.0957,0.814,0.904,0.736,PASS,712.4,0.6052515672936158,0.5
0,4,0,,,0.1964,0.429,0.914,0.392,MONITOR,781.29,0.6052515672936158,0.5
0,5,0,,,0.1551,0.573,0.922,0.529,PASS,864.69,0.6052515672936158,0.5
0,6,0,,,0.1388,0.635,0.924,0.587,PASS,955.09,0.6052515672936158,0.5
0,7,0,,,0.2138,0.374,0.924,0.346,MONITOR,1058.27,0.6052515672936158,0.5
0,8,0,,,0.209,0.388,0.924,0.358,MONITOR,1113.61,0.6052515672936158,0.5
0,9,0,,,0.1457,0.61,0.924,0.564,PASS,1169.46,0.6052515672936158,0.5
0,10,0,,,0.1716,0.512,0.924,0.473,MONITOR,1255.47,0.6052515672936158,0.5
0,11,0,,,0.0632,0.927,0.924,0.856,PASS,1339.4,0.6052515672936158,0.5
0,12,0,,,0.4059,0.073,0.924,0.067,MONITOR,1427.4,0.6052515672936158,0.5
0,13,0,,,0.0541,0.95,0.924,0.878,PASS,1489.08,0.6052515672936158,0.5
0,14,0,,,0.1966,0.428,0.924,0.395,MONITOR,1579.19,0.6052515672936158,0.5
0,15,0,,,0.2547,0.271,0.924,0.25,MONITOR,1635.66,0.6052515672936158,0.5
0,16,0,,,0.244,0.294,0.924,0.272,MONITOR,1692.05,0.6052515672936158,0.5
0,17,0,,,0.1499,0.593,0.926,0.549,PASS,1733.84,0.6052515672936158,0.5
0,18,0,,,0.0781,0.877,0.926,0.812,PASS,1827.34,0.6052515672936158,0.5
0,19,0,,,0.231,0.326,0.926,0.302,MONITOR,1922.7,0.6052515672936158,0.5
0,20,0,,,0.1901,0.449,0.925,0.416,MONITOR,1967.96,0.6052515672936158,0.5
0,21,0,,,0.0462,0.966,0.925,0.894,PASS,2057.76,0.6052515672936158,0.5
0,22,0,,,0.1504,0.591,0.925,0.547,PASS,2124.96,0.6052515672936158,0.5
0,23,0,,,0.1341,0.653,0.924,0.604,PASS,2215.3,0.6052515672936158,0.5
0,24,0,,,0.0578,0.943,0.924,0.872,PASS,2297.47,0.6052515672936158,0.5
0,25,0,,,0.1302,0.669,0.924,0.618,PASS,2369.94,0.6052515672936158,0.5
0,26,0,,,0.1592,0.558,0.924,0.515,PASS,2451.95,0.6052515672936158,0.5
0,27,0,,,0.2141,0.373,0.923,0.344,MONITOR,2517.25,0.6052515672936158,0.5
0,28,0,,,0.2012,0.413,0.923,0.381,MONITOR,2589.48,0.6052515672936158,0.5
0,29,0,,,0.1346,0.651,0.923,0.601,PASS,2647.7,0.6052515672936158,0.5
0,30,0,,,0.2175,0.365,0.923,0.337,MONITOR,2740.2,0.6052515672936158,0.5
0,31,0,,,0.0709,0.904,0.923,0.834,PASS,2810.05,0.6052515672936158,0.5
0,32,0,,,0.1882,0.456,0.923,0.421,MONITOR,2869.95,0.6052515672936158,0.5
0,33,0,,,0.169,0.522,0.922,0.481,MONITOR,2922.22,0.6052515672936158,0.5
0,34,0,,,0.3693,0.102,0.922,0.094,MONITOR,2976.33,0.6052515672936158,0.5
0,35,0,,,0.1236,0.696,0.922,0.642,PASS,3028.35,0.6052515672936158,0.5
0,36,0,,,0.1486,0.598,0.922,0.551,PASS,3106.76,0.6052515672936158,0.5
