station,name,tier,is_inspection,mean_cycle,failure_rate,base_defect_rate
0,Frame-Weld,A,False,50,0.002,0.00025
1,Body-Weld,A,False,52,0.002,0.00029
2,Door-Fit,A,False,48,0.001,0.00021
3,Seal,A,False,46,0.001,0.00017
4,Paint-Inspect,C,True,55,0.001,0.00063
5,Primer,A,False,50,0.001,0.00021
6,Topcoat,A,False,72,0.003,0.00038
7,Cure,A,False,49,0.001,0.00013
8,Torque-1,A,False,50,0.002,0.00025
9,Torque-2,B,False,51,0.002,0.0005
10,Electrical,A,False,53,0.002,0.00025
11,Final-QC,A,True,47,0.001,0.00017
