index,name,tier,has_sensor,produced,utilisation,blocked_frac,starved_frac,down_frac,longest_active
0,Frame-Weld,A,True,137,0.873,0.124,0.0,0.0,8000.0
1,Body-Weld,A,True,132,0.857,0.139,0.0,0.0,7567.24
2,Door-Fit,A,True,127,0.775,0.175,0.046,0.0,4475.89
3,Seal,A,True,122,0.715,0.236,0.044,0.0,5442.14
4,Paint-Inspect,C,False,117,0.833,0.153,0.01,0.0,6048.08
5,Primer,A,True,112,0.722,0.248,0.019,0.007,6598.1
6,Topcoat,A,True,106,0.974,0.0,0.016,0.0,7678.48
7,Cure,A,True,106,0.654,0.0,0.342,0.0,161.16
8,Torque-1,A,True,106,0.671,0.0,0.329,0.0,211.58
9,Torque-2,B,False,104,0.669,0.0,0.326,0.0,203.27
10,Electrical,A,True,104,0.709,0.0,0.29,0.0,273.44
11,Final-QC,A,True,103,0.637,0.0,0.363,0.0,202.11
