session_id,unit_id,station,t,channel,value_true,value_observed,t_global
0,1,4,201.22,torque,50.0811,,201.22
0,1,4,201.22,vibration,0.2125,,201.22
0,1,4,201.22,temperature,68.0749,,201.22
0,1,4,201.22,pressure,34.3018,,201.22
0,1,4,201.22,humidity,45.3251,,201.22
0,5,0,220.01,torque,48.0554,48.0554,220.01
0,5,0,220.01,vibration,0.2118,0.2118,220.01
0,5,0,220.01,temperature,71.5366,71.5366,220.01
0,5,0,220.01,pressure,33.52,33.52,220.01
0,5,0,220.01,humidity,45.9614,45.9614,220.01
0,2,3,229.17,torque,49.6624,49.6624,229.17
0,2,3,229.17,vibration,0.1884,0.1884,229.17
0,2,3,229.17,temperature,70.8808,70.8808,229.17
0,2,3,229.17,pressure,36.1958,36.1958,229.17
0,2,3,229.17,humidity,44.6964,44.6964,229.17
0,3,2,243.02,torque,50.9055,50.9055,243.02
0,3,2,243.02,vibration,0.2401,0.2401,243.02
0,3,2,243.02,temperature,68.4199,68.4199,243.02
0,3,2,243.02,pressure,28.6801,28.6801,243.02
0,3,2,243.02,humidity,46.1797,46.1797,243.02
0,4,1,243.02,torque,48.6874,48.6874,243.02
0,4,1,243.02,vibration,0.2372,0.2372,243.02
0,4,1,243.02,temperature,70.6102,70.6102,243.02
0,4,1,243.02,pressure,30.9438,30.9438,243.02
0,4,1,243.02,humidity,43.4638,43.4638,243.02
0,1,5,267.87,torque,49.7562,49.7562,267.87
0,1,5,267.87,vibration,0.2341,0.2341,267.87
0,1,5,267.87,temperature,71.6303,71.6303,267.87
0,1,5,267.87,pressure,32.6815,32.6815,267.87
0,1,5,267.87,humidity,47.0992,47.0992,267.87
0,2,4,275.05,torque,52.4344,,275.05
0,2,4,275.05,vibration,0.2296,,275.05
0,2,4,275.05,temperature,68.9557,,275.05
0,2,4,275.05,pressure,32.9342,,275.05
0,2,4,275.05,humidity,45.5289,,275.05
0,6,0,280.75,torque,49.389,49.389,280.75
0,6,0,280.75,vibration,0.163,0.163,280.75
0,6,0,280.75,temperature,74.207,74.207,280.75
0,6,0,280.75,pressure,27.9399,27.9399,280.75
0,6,0,280.75,humidity,45.8805,45.8805,280.75
0,3,3,287.23,torque,51.5207,51.5207,287.23
0,3,3,287.23,vibration,0.1552,0.1552,287.23
0,3,3,287.23,temperature,70.0476,70.0476,287.23
0,3,3,287.23,pressure,25.9959,25.9959,287.23
0,3,3,287.23,humidity,45.4973,45.4973,287.23
0,4,2,295.15,torque,49.8416,49.8416,295.15
