session_id,unit_id,station,t_global
0,1,4,201.22
0,5,0,220.01
0,2,3,229.17
0,3,2,243.02
0,4,1,243.02
0,1,5,267.87
0,2,4,275.05
0,6,0,280.75
0,3,3,287.23
0,4,2,295.15
0,5,1,295.15
0,1,6,321.52
0,2,5,326.81
0,3,4,329.23
0,7,0,330.73
0,4,3,341.7
0,5,2,342.11
0,6,1,342.11
0,8,0,382.78
0,3,5,384.12
0,6,2,384.56
0,7,1,384.56
0,4,4,387.44
0,5,3,387.44
0,1,7,392.33
0,2,6,392.33
0,8,1,432.76
0,9,0,432.76
0,6,3,435.15
0,7,2,435.15
0,4,5,438.53
0,5,4,438.53
0,1,8,446.15
0,2,7,450.96
0,3,6,450.96
0,10,0,478.13
0,6,4,484.34
0,1,9,487.14
0,9,1,488.68
0,7,3,493.47
0,8,2,493.47
0,5,5,500.43
0,2,8,505.48
0,3,7,520.81
0,4,6,520.81
0,1,10,525.04
0,11,0,538.07
0,6,5,541.59
0,7,4,541.59
0,2,9,545.15
0,8,3,549.53
0,9,2,550.58
0,10,1,550.58
0,3,8,561.54
0,1,11,573.02
0,12,0,588.19
0,7,5,593.49
0,8,4,593.49
0,4,7,593.6
0,5,6,593.6
0,2,10,594.01
0,9,3,596.21
0,10,2,606.26
0,11,1,606.26
0,3,9,606.38
0,4,8,632.16
0,13,0,643.99
0,2,11,644.53
0,10,3,646.37
0,3,10,654.54
0,11,2,655.59
0,12,1,655.59
0,8,5,657.83
0,9,4,657.83
0,5,7,684.97
0,6,6,684.97
0,4,9,688.91
0,14,0,689.94
0,11,3,700.87
0,12,2,708.45
0,13,1,708.45
0,3,11,712.4
0,10,4,714.42
0,9,5,725.06
0,5,8,725.99
0,4,10,729.05
0,15,0,739.19
0,12,3,758.95
0,6,7,764.09
0,7,6,764.09
0,11,4,765.15
0,5,9,766.47
0,13,2,773.71
0,14,1,773.71
0,4,11,781.29
0,10,5,782.66
0,16,0,790.07
0,5,10,810.9
0,6,8,814.11
0,13,3,823.1
0,14,2,829.54
0,15,1,829.54
0,11,5,831.36
0,12,4,831.36
0,7,7,845.12
0,8,6,845.12
0,17,0,847.36
0,6,9,850.48
0,5,11,864.69
0,14,3,872.79
0,12,5,883.47
0,13,4,883.47
0,15,2,885.24
0,16,1,885.24
0,7,8,895.54
0,18,0,903.33
0,6,10,905.09
0,8,7,912.28
0,9,6,912.28
0,14,4,926.89
0,15,3,929.67
0,16,2,945.24
0,17,1,945.24
0,7,9,950.36
0,8,8,952.54
0,19,0,953.46
0,6,11,955.09
0,9,7,975.87
0,10,6,975.87
0,13,5,977.69
0,15,4,978.7
0,7,10,993.05
0,18,1,997.64
0,16,3,998.11
0,17,2,998.11
0,8,9,1004.29
0,20,0,1009.11
0,9,8,1023.14
0,14,5,1032.92
0,16,4,1044.81
0,21,0,1045.35
0,17,3,1054.18
0,10,7,1054.71
0,11,6,1054.71
0,7,11,1058.27
0,8,10,1060.7
0,18,2,1060.84
0,19,1,1060.84
0,9,9,1068.14
0,15,5,1089.75
0,22,0,1092.8
0,17,4,1099.52
0,20,1,1102.34
0,18,3,1105.23
0,19,2,1105.23
0,10,8,1105.9
0,9,10,1112.72
0,8,11,1113.61
0,11,7,1130.16
0,12,6,1130.16
0,16,5,1136.08
0,21,1,1141.96
0,20,2,1146.98
0,23,0,1149.01
0,18,4,1152.68
0,19,3,1152.68
0,10,9,1155.23
0,9,11,1169.46
0,11,8,1175.21
0,17,5,1179.61
0,20,3,1193.27
0,12,7,1194.0
0,13,6,1194.0
0,21,2,1195.97
0,22,1,1195.97
0,24,0,1196.23
0,10,10,1200.59
0,19,4,1217.56
0,18,5,1222.88
0,11,9,1224.53
0,25,0,1243.97
0,22,2,1249.61
0,23,1,1249.61
0,21,3,1253.63
0,14,6,1254.44
